Markers,	Elevation(Meters),Latitude,Longitude
B,60.48046112060547,45.633457351557645,-73.9819050636388
C,21,45.49577821574763,-73.9357625190414
D,29.20111274719238,45.5504287645497,-73.3886433448888
E,48.16887283325195,45.3454085783819,-73.2359333671875
F,21,45.335369671080535,-73.8368855659164
G,37.45238876342773,45.618090953219664,-73.13156325
H,51,45.245713147696975,-74.3455525078125
Markers,	Elevation(Meters),Latitude,Longitude
A,73.23115539550781,45.618090953219664,-74.2664509369306
B,64.71857452392578,45.671087222960224,-73.8006306495763
C,47.71611022949219,45.474211302999315,-73.6622029319651
D,21,45.338458759748676,-73.8830281105138
E,48.78979110717773,45.272006481402144,-73.9983845558263
F,65.32331848144531,45.38014481600414,-74.2170124603681
G,54.14983367919922,45.46419529000353,-74.394990984375
H,91.490234375,45.642675174573725,-74.5455036880694
I,231.5230712890625,45.77769560624482,-74.1697712578125
J,52.93700408935547,45.75623689708403,-73.6951619163401
